DIAS,PRECIP,EVAP,TMAX,TMIN,HORAS LUZ,HI,BIOMASA
1,0.75,5.65,24.5,6.67,12,0,0
2,1.67,5.57,24.4,7.33,12,0,0
3,2.63,5.67,25.67,9.33,12,0,0
4,0.83,4.37,24.5,9.73,12,0,0
5,9.5,8.12,22.67,8.33,12,0,0
6,2.58,5.22,23.83,7.33,12,0,0
7,2.57,5.73,24.5,7.17,12,0,0
8,2.33,5.58,25.33,8.33,12,0.3,0
9,1.88,5.68,24,8.57,12,0.5,0.005
10,3,5.55,24.5,9.73,12,1,0.009
11,0,4.76,24.33,8.9,12,1.3,0.013
12,3.28,5.27,23.67,9.57,12,1.5,0.02
13,2.33,5.45,24.17,8.57,12,1.6,0.028
14,0.17,6.23,24.67,9.23,12,1.9,0.038
15,1.08,5.77,26,10.57,12,2.1,0.049
16,5.47,4.79,26.33,10.23,12,2.4,0.061
17,3,5.79,25.17,9.83,12,2.7,0.076
18,1.75,5.92,25.17,10.17,12,3,0.094
19,1.33,5.74,25.67,10,12,3.4,0.117
20,4.55,5.79,25.17,9.83,12,3.8,0.143
21,0.08,3.27,23.83,9.67,12,4.3,0.174
22,1.75,5.56,24,8.83,12,4.8,0.206
23,7.58,5.26,23.33,8,12,5.4,0.244
24,3.03,6.04,24,9.33,12,6,0.288
25,5.75,5.02,23.5,10,12,6.7,0.342
26,6.83,5.89,24,9.83,12,7.5,0.4
27,5.75,6.14,23.67,9.33,12,8.3,0.432
28,7.67,5.32,24,9.67,12.83,9.2,0.475
29,1.67,5.47,22.5,10.17,13,10.1,0.524
30,3.58,5,22.67,8.67,13,11.1,0.579
31,0.33,4.24,23.33,10.17,13,12,0.621
32,3,4.32,24.5,10.5,13,12.9,0.722
33,11.17,6.26,24.17,10,13,13.8,0.809
34,3.25,5.37,24,9.83,13,14.8,0.925
35,3.25,5.09,25.17,9.83,13,15.7,1.056
36,3.92,6.07,25.6,10,13,16.6,1.206
37,0.58,4.94,24.5,9.17,13,17.5,1.374
38,0,5.17,25.5,9.67,13,18.5,1.54
39,1.33,4.59,24.83,9.67,13,19.4,1.709
40,1.33,4.99,24.83,10.5,13,20.3,1.885
41,0.75,6.11,25.17,9.83,13,21.2,2.057
42,0,5.92,26.67,9.67,13,22.2,2.229
43,6.5,5.74,25.83,8.83,13,23.1,2.398
44,4.25,5.19,25.17,9.83,13,24,2.562
45,6.33,5.19,23.67,9.5,13,24.9,2.726
46,0.5,5.04,22.5,8.5,13,25.9,2.907
47,2.67,4.23,24.5,9.17,13,26.8,3.092
48,3.75,5.25,21.83,8.96,13,27.7,3.274
49,0.83,3.98,20.83,10.5,13,28.6,3.44
50,11.58,3.47,20.83,11,13,29.6,3.605
51,6.17,4.02,20.33,9.83,13,30.5,3.729
52,6.58,4.98,21,10.67,13,31.4,3.838
53,9.75,4.35,20.5,11,13,32.3,3.976
54,12.92,4.6,22.5,10.5,13,33.3,4.134
55,3,5.78,23,8.83,13,34.2,4.301
